row_type,indicator,indicator_label,config_id,params,corridor,eligible_days,signals,hits,hit_rate,baseline_hit_rate,raw_lift,same_week_lift,signals_per_week,mean_regret_bps
registered_config,momentum_streak,Моментум: N дней подряд вниз,"momentum_streak:{""n"":5}","{""n"":5}",UZS,1146,64,24,0.375,0.39790575916230364,0.9424342105263158,1.535181236673774,0.2728380024360536,250.3969989406449
registered_config,filter_rule,Сильное однодневное снижение,"filter_rule:{""x"":0.5}","{""x"":0.5}",UZS,1146,302,83,0.27483443708609273,0.39790575916230364,0.6907023353084699,1.1364673664993155,1.287454323995128,234.6560009395891
registered_config,filter_rule,Сильное однодневное снижение,"filter_rule:{""x"":1}","{""x"":1}",UZS,1146,146,40,0.273972602739726,0.39790575916230364,0.6885364095169431,1.1272898074213245,0.6224116930572472,262.4897609527674
registered_config,filter_rule,Сильное однодневное снижение,"filter_rule:{""x"":2}","{""x"":2}",UZS,1146,59,17,0.288135593220339,0.39790575916230364,0.7241302408563783,1.3010204081632653,0.2515225334957369,310.02611330110017
registered_config,filter_rule,Сильное однодневное снижение,"filter_rule:{""x"":3}","{""x"":3}",UZS,1146,28,12,0.42857142857142855,0.39790575916230364,1.0770676691729324,1.8136020151133498,0.11936662606577345,355.67724798287634
registered_config,reversal_from_low,Разворот вверх от минимума,"reversal_from_low:{""bounce"":0.5,""lookback"":20}","{""bounce"":0.5,""lookback"":20}",UZS,1146,940,408,0.4340425531914894,0.39790575916230364,1.0908174692049273,0.9742895805142084,4.007308160779537,135.25840033545379
registered_config,reversal_from_low,Разворот вверх от минимума,"reversal_from_low:{""bounce"":0.5,""lookback"":60}","{""bounce"":0.5,""lookback"":60}",UZS,1146,1016,429,0.422244094488189,0.39790575916230364,1.0611660795690014,0.9810198948090555,4.33130328867235,141.7371332276132
registered_config,reversal_from_low,Разворот вверх от минимума,"reversal_from_low:{""bounce"":0.5,""lookback"":90}","{""bounce"":0.5,""lookback"":90}",UZS,1146,1040,431,0.41442307692307695,0.39790575916230364,1.0415106275303645,0.9846927119031299,4.433617539585871,142.66441928513268
registered_config,reversal_from_low,Разворот вверх от минимума,"reversal_from_low:{""bounce"":1.0,""lookback"":20}","{""bounce"":1.0,""lookback"":20}",UZS,1146,879,384,0.43686006825938567,0.39790575916230364,1.097898329441351,0.9630496572479518,3.7472594397076735,136.25119247677415
registered_config,reversal_from_low,Разворот вверх от минимума,"reversal_from_low:{""bounce"":1.0,""lookback"":60}","{""bounce"":1.0,""lookback"":60}",UZS,1146,965,411,0.42590673575129534,0.39790575916230364,1.070370875374966,0.9707132735002363,4.113885505481121,140.80240624041355
registered_config,reversal_from_low,Разворот вверх от минимума,"reversal_from_low:{""bounce"":1.0,""lookback"":90}","{""bounce"":1.0,""lookback"":90}",UZS,1146,995,416,0.41809045226130653,0.39790575916230364,1.0507273208145993,0.9783631232361241,4.2417783191230205,143.76908702977818
registered_config,reversal_from_low,Разворот вверх от минимума,"reversal_from_low:{""bounce"":1.5,""lookback"":20}","{""bounce"":1.5,""lookback"":20}",UZS,1146,820,359,0.4378048780487805,0.39790575916230364,1.1002727856225931,0.9577590040017785,3.4957369062119366,135.25466235866904
registered_config,reversal_from_low,Разворот вверх от минимума,"reversal_from_low:{""bounce"":1.5,""lookback"":60}","{""bounce"":1.5,""lookback"":60}",UZS,1146,919,399,0.43416757344940154,0.39790575916230364,1.0911316648531013,0.9705667720749209,3.917783191230207,141.48403095827373
registered_config,reversal_from_low,Разворот вверх от минимума,"reversal_from_low:{""bounce"":1.5,""lookback"":90}","{""bounce"":1.5,""lookback"":90}",UZS,1146,953,401,0.42077649527806926,0.39790575916230364,1.0574777710277794,0.9700048379293663,4.06272838002436,144.41461581065678
registered_config,volatility_regime,Волатильность и режим,"volatility_regime:{""regime"":""low"",""window"":20}","{""regime"":""low"",""window"":20}",UZS,1146,240,118,0.49166666666666664,0.39790575916230364,1.2356359649122808,1.00169779286927,1.0231425091352009,64.95683589744614
registered_config,volatility_regime,Волатильность и режим,"volatility_regime:{""regime"":""mid"",""window"":20}","{""regime"":""mid"",""window"":20}",UZS,1146,335,147,0.4388059701492537,0.39790575916230364,1.102788688138256,1.0251046025104602,1.428136419001218,102.1037087013776
registered_config,volatility_regime,Волатильность и режим,"volatility_regime:{""regime"":""high"",""window"":20}","{""regime"":""high"",""window"":20}",UZS,1146,571,191,0.3345008756567426,0.39790575916230364,0.8406535164531295,0.9804928131416837,2.4342265529841653,218.5242538301767
registered_config,seasonality,Сезонность,"seasonality:{""calendar"":""month"",""min_observations"":20,""min_signal_to_noise"":0.25}","{""calendar"":""month"",""min_observations"":20,""min_signal_to_noise"":0.25}",UZS,1146,10,7,0.7,0.39790575916230364,1.7592105263157896,1.0294117647058825,0.04263093788063337,81.66103616982033
registered_config,seasonality,Сезонность,"seasonality:{""calendar"":""day_of_month"",""min_observations"":20,""min_signal_to_noise"":0.25}","{""calendar"":""day_of_month"",""min_observations"":20,""min_signal_to_noise"":0.25}",UZS,1146,96,40,0.4166666666666667,0.39790575916230364,1.0471491228070176,1.0526315789473684,0.40925700365408035,188.98860526107094
